,OS: Windows 10 | Browser: Chrome 146 | Resolution: 1842x990 | Time: 26 Mar 2026 / 0:33:12  GMT-4

"#","Step","Data","Exp Result","XPath","cssSelector"
"1","Open website","https://resellermastv.com:8443/lines","","",""
"2","Click on ""Manage Lines""","","","//p[normalize-space()='Manage Lines']","body > div:nth-child(1) > div:nth-child(1) > aside:nth-child(1) > div:nth-child(1) > nav:nth-child(1) > ul:nth-child(1) > li:nth-child(3) > ul:nth-child(2) > li:nth-child(3) > a:nth-child(1) > p:nth-child(1)"
"3","Click on ""mantine-1gzrr00ps-target""","","","//button[@id='mantine-1gzrr00ps-target']//*[@class='tabler-icon tabler-icon-adjustments']","body > div:nth-child(1) > div:nth-child(1) > main:nth-child(3) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(3) > table:nth-child(1) > tbody:nth-child(2) > tr:nth-child(4) > td:nth-child(15) > div:nth-child(1) > button:nth-child(1) > span:nth-child(1) > svg:nth-child(1)"
"4","Click on ""Renew (extend)""","","","//div[normalize-space()='Renew (extend)']","body > div:nth-child(126) > div:nth-child(1) > button:nth-child(6) > div:nth-child(2)"
"5","Click on ""Choose package""","","","//input[@id='mantine-bre2vuoqr']","#mantine-bre2vuoqr"
"6","Click on ""3 MESES - 1 DISP (82 Bs) - Costo: 1.5 Creditos. [Official] Cost: 1.5 credits. Duration: 3 months""","","","//span[contains(text(),'3 MESES - 1 DISP (82 Bs) - Costo: 1.5 Creditos. [O')]","span"
"7","Click on ""Renew""","","","//span[contains(text(),'Renew')]","body > div:nth-child(30) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > section:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > button:nth-child(2) > span:nth-child(2) > span:nth-child(2)"
